text,page,bbox,font_size,font_name,font_flags,page_height,page_width,block_index,total_blocks,relative_position,font_size_z_score,font_size_percentile,is_largest_font,is_common_font_size,font_size_deviation,is_first_page,is_last_page,page_position_normalized,prev_font_size_diff,prev_text_length,prev_page_diff,next_font_size_diff,next_text_length,next_page_diff,text_length_z_score,is_short_text,is_medium_text,is_long_text,title_score,h1_score,h2_score,h3_score,heading_likelihood,heuristic_class,heuristic_confidence,block_width,block_height,aspect_ratio,sentence_count,avg_sentence_length,word_count,avg_word_length,unique_word_ratio,char_count,alpha_ratio,digit_ratio,punct_ratio,space_ratio,stopword_ratio,bigram_diversity,starts_with_number,ends_with_punct,has_colon,parentheses_count,quote_count,flesch_score,heading_rank,heading_percentile,preliminary_label,label,source_file
"HIV,  Other  STD,  and  Teen  Pregnancy  Prevention  and",1,"(157.4398956298828, 24.726299285888672, 579.7439575195312, 48.73829650878906)",17.982891082763672,TT26Et00,4,792.0,612.0,0,17,0.0,2.1348817693383344,1.0,True,False,8.032495498657227,True,True,0.03122007485592004,0.0,0,0,0.0,25,0,-0.5853398847973403,False,True,False,9,6,0.0,0.0,9.0,Title,0.6,422.30406188964844,24.01199722290039,17.587211008291074,1,8.0,8,5.25,0.875,56,0.7142857142857143,0.0,0.03571428571428571,0.25,0.3,1.0,False,False,False,0,0,0.0,2,0.9411764705882353,Title,Title,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
North  Carolina  Students,1,"(391.31866455078125, 63.60630416870117, 592.463623046875, 87.61830139160156)",17.982891082763672,TT26Et00,4,792.0,612.0,1,17,0.058823529411764705,2.1348817693383344,1.0,True,False,8.032495498657227,True,True,0.08031099011199642,0.0,56,0,0.0,20,0,-0.7516332105591723,False,True,False,10,7,1.0,0.0,10.0,Title,0.5555555555555556,201.14495849609375,24.01199722290039,8.376852480403445,1,3.0,3,7.0,1.0,25,0.84,0.0,0.0,0.16,0.0,1.0,False,False,False,0,0,0.0,1,1.0,Title,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
What is the problem?,1,"(221.63165283203125, 106.92631530761719, 394.8302307128906, 130.9442901611328)",17.982891082763672,TT26Et00,4,792.0,612.0,2,17,0.11764705882352941,2.1348817693383344,1.0,True,False,8.032495498657227,True,True,0.13500797387325403,0.0,25,0,-8.032495498657227,93,0,-0.7784547147143065,False,True,False,9,6,0.0,0.0,9.0,Title,0.6,173.19857788085938,24.017974853515625,7.211206562467837,1,4.0,4,4.25,1.0,20,0.8,0.0,0.05,0.15,0.6,1.0,False,True,False,0,0,23.00000000000003,3,0.8823529411764706,Title,H1,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
The 2011 North Carolina Youth Risk Behavior Survey indicates that among high school students:,1,"(29.999500274658203, 132.43240356445312, 440.16680908203125, 145.71905517578125)",9.950395584106445,TT26Dt00,4,792.0,612.0,3,17,0.17647058823529413,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.1672126307631984,-8.032495498657227,20,0,0.0,21,0,-0.38686075404934733,False,True,False,7,3,0.0,0.0,7.0,Title,0.7,410.16730880737305,13.286651611328125,30.870630223920877,1,14.0,14,5.714285714285714,1.0,93,0.8064516129032258,0.043010752688172046,0.010752688172043012,0.13978494623655913,0.13333333333333333,1.0,False,True,True,0,0,0.0,4,0.8235294117647058,Title,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
Sexual Risk Behaviors,1,"(30.009368896484375, 149.11538696289062, 126.09712982177734, 162.40203857421875)",9.950395584106445,TT26Et00,4,792.0,612.0,4,17,0.23529411764705882,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.18827700374102352,0.0,93,0,0.0,480,0,-0.7730904138832797,False,True,False,6,4,1.0,0.0,6.0,Title,0.5454545454545454,96.08776092529297,13.286651611328125,7.231901891923552,1,3.0,3,6.333333333333333,1.0,21,0.9047619047619048,0.0,0.0,0.09523809523809523,0.0,1.0,False,False,False,0,0,0.0,5,0.7647058823529411,Title,H2,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
"•  49% ever had sexual intercourse.  •  9% had sexual intercourse for the first time before age 13 years.  •  17% had sexual intercourse with four or more persons during their life.  •  35% had sexual intercourse with at least one person during the 3 months before the survey.  • 46%  did  not  use  a  condom  during  last  sexual  intercourse.  (1)     • — did not use birth control pills or Depo­Provera (or any injectable birth control), Nuva Ring (or any birth control ring),",1,"(39.84081268310547, 160.75863647460938, 551.76220703125, 232.26153564453125)",9.950395584106445,TT26Dt00,4,792.0,612.0,5,17,0.29411764705882354,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.20297807635683002,0.0,21,0,0.0,189,0,1.689123667558039,False,False,True,5,3,0.0,0.0,5.0,Title,0.625,511.92139434814453,71.50289916992188,7.159449480944786,6,13.833333333333334,83,4.530120481927711,0.6385542168674698,480,0.7020833333333333,0.027083333333333334,0.014583333333333334,0.21666666666666667,0.2871287128712871,0.79,False,False,False,6,0,1.1700702811245094,6,0.7058823529411765,Title,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
"implanon  (or  any  implant),  or  any  IUD  before  last  sexual  intercourse.  (1)     • —  were  never  taught  in  school  about  AIDS or  HIV  infection.     Alcohol and Other Drug Use",1,"(30.069061279296875, 230.61807250976562, 360.222900390625, 266.8326416015625)",9.950395584106445,TT26Dt00,4,792.0,612.0,6,17,0.35294117647058826,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.2911844349870778,0.0,480,0,0.0,181,0,0.12811212572922917,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,330.1538391113281,36.214569091796875,9.11660272070206,3,9.666666666666666,29,4.586206896551724,0.9310344827586207,189,0.6507936507936508,0.005291005291005291,0.015873015873015872,0.2962962962962963,0.3055555555555556,0.9714285714285714,False,False,False,4,0,3.0267816091954103,11,0.4117647058823529,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
• 25%  drank  alcohol  or  used  drugs  before  last  sexual  intercourse.  (1)     • — used a needle to inject any illegal drug into their body one or more times during their life.,1,"(39.671875, 269.6214294433594, 443.91448974609375, 294.55133056640625)",9.950395584106445,TT26Dt00,4,792.0,612.0,7,17,0.4117647058823529,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.3404310977820194,0.0,189,0,0.0,138,0,0.08519771908101445,False,True,False,3,3,0.0,0.0,3.0,Title,0.5,404.24261474609375,24.929901123046875,16.215171201476796,2,16.0,32,4.25,0.875,181,0.6906077348066298,0.016574585635359115,0.011049723756906077,0.24861878453038674,0.2972972972972973,1.0,False,True,False,2,0,10.820000000000022,12,0.35294117647058826,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
What are the solutions?  Better health education • More comprehensive health services • More supportive policies • More family involvement,1,"(56.39950180053711, 300.9661865234375, 558.1514282226562, 335.678955078125)",9.950395584106445,Times-Roman,4,792.0,612.0,8,17,0.47058823529411764,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.38000781126696653,0.0,181,0,0.0,120,0,-0.14546721665313958,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,501.75192642211914,34.7127685546875,14.454390914733425,2,10.0,20,5.9,0.75,138,0.8260869565217391,0.0,0.007246376811594203,0.14492753623188406,0.2857142857142857,0.9,False,False,False,0,0,0.0,13,0.29411764705882354,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
What is the status?  The 2012 North Carolina School Health Profiles indicates that among high schools:  Health Education,1,"(29.999969482421875, 335.8861999511719, 384.39398193359375, 380.32220458984375)",9.950395584106445,Times-Roman,4,792.0,612.0,9,17,0.5294117647058824,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.4240987373120857,0.0,138,0,0.0,773,0,-0.2420246316116227,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,354.3940124511719,44.436004638671875,7.97537976991633,2,9.0,18,5.611111111111111,0.9444444444444444,120,0.7916666666666666,0.03333333333333333,0.016666666666666666,0.15833333333333333,0.25,1.0,False,False,True,0,0,0.0,14,0.23529411764705882,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
"•  17% required students to take 2 or more health education courses.  •  75% had a health education curriculum that addresses all 8 national standards for health education.  •  69% taught 9 key pregnancy, HIV, or other STD prevention topics in a required course.  •  39% taught 4 key topics related to condom use in a required course.  •  83% taught how to access valid and reliable health information, products, or services related to HIV, other STDs, and  pregnancy in a required course.  •  58% had a lead health education teacher who received professional development during the 2 years before the survey  on HIV prevention.  •  49% had a lead health education teacher who received professional development during the 2 years before the survey  on pregnancy prevention.",1,"(39.483428955078125, 378.6788024902344, 556.27587890625, 496.87420654296875)",9.950395584106445,TT26Dt00,4,792.0,612.0,10,17,0.5882352941176471,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.4781298011240333,0.0,120,0,0.0,15,0,3.2608638110489028,False,False,True,5,4,0.5,0.0,5.0,Title,0.5263157894736842,516.7924499511719,118.19540405273438,4.3723565572871035,7,18.142857142857142,127,4.968503937007874,0.5354330708661418,773,0.7554980595084088,0.0258732212160414,0.016817593790426907,0.18369987063389392,0.272108843537415,0.7123287671232876,False,True,False,0,0,0.0,7,0.6470588235294118,Title,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
Health Services,1,"(30.149070739746094, 499.0653991699219, 99.59548950195312, 512.35205078125)",9.950395584106445,TT26Et00,4,792.0,612.0,11,17,0.6470588235294118,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.6301330797600023,0.0,773,0,0.0,128,0,-0.8052762188694407,False,True,False,4,3,1.0,0.0,4.0,Title,0.5,69.44641876220703,13.286651611328125,5.2267810426366115,1,2.0,2,7.0,1.0,15,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0,1.0,False,False,False,0,0,0.0,9,0.5294117647058824,Title,H2,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
•    33%  had  a  full­time  registered  nurse  who  provides  health  services  to  students  at  school.   Supportive Policies,1,"(30.149017333984375, 510.7085266113281, 425.3852844238281, 536.3555297851562)",9.950395584106445,TT26Dt00,4,792.0,612.0,12,17,0.7058823529411765,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.6448339982466265,0.0,15,0,0.0,230,0,-0.19911022496340797,False,True,False,3,3,0.0,0.0,3.0,Title,0.5,395.23626708984375,25.647003173828125,15.410621834100626,2,8.5,17,5.529411764705882,1.0,128,0.6875,0.015625,0.0078125,0.265625,0.2631578947368421,1.0,False,False,False,0,0,0.0,15,0.17647058823529413,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
"•  32% had a gay/straight alliance or similar club.  •  5% provided curricula or supplementary materials and engaged in 5 practices related to lesbian, gay, bisexual,  transgender, or questioning (LGBTQ) youth.  Family Involvement",1,"(30.3876953125, 534.712158203125, 519.107177734375, 584.3627319335938)",9.950395584106445,Times-Roman,4,792.0,612.0,13,17,0.7647058823529411,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.6751416138928346,0.0,128,0,0.0,161,0,0.34804845980132953,False,True,False,3,4,0.5,0.0,4.0,H1,0.5333333333333333,488.719482421875,49.65057373046875,9.843178954485387,3,11.0,33,5.848484848484849,0.9090909090909091,230,0.7652173913043478,0.017391304347826087,0.02608695652173913,0.1608695652173913,0.18604651162790697,1.0,False,False,False,2,0,0.0,10,0.47058823529411764,H1,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
"•  27% provided parents and families health information to increase parent and family knowledge of HIV prevention, STD  prevention, or teen pregnancy prevention.",1,"(39.27477264404297, 582.7192993164062, 558.7313232421875, 607.649169921875)",9.950395584106445,TT26Dt00,4,792.0,612.0,14,17,0.8235294117647058,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.7357566910560684,0.0,230,0,-1.9181499481201172,83,0,-0.022088297539522312,False,True,False,3,3,0.0,0.0,3.0,Title,0.5,519.4565505981445,24.92987060546875,20.836712665656346,1,23.0,23,5.956521739130435,0.9130434782608695,161,0.8074534161490683,0.012422360248447204,0.018633540372670808,0.14906832298136646,0.18518518518518517,0.9615384615384616,False,True,False,0,0,0.0,16,0.11764705882352941,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
1. Among  students  who  were  currently  sexually  active.   ­ Data not available.,1,"(19.43950080871582, 625.6139526367188, 212.46885681152344, 647.3782348632812)",8.032245635986328,TT26Dt00,4,792.0,612.0,15,17,0.8823529411764706,-0.9964095623681832,0.058823529411764705,False,False,1.9181499481201172,True,True,0.7899166068645439,-1.9181499481201172,161,0,0.959050178527832,94,0,-0.4405037623596157,False,True,False,3,5,0.0,0.0,5.0,H1,0.625,193.02935600280762,21.7642822265625,8.869088996062661,3,4.0,12,5.333333333333333,1.0,83,0.7108433734939759,0.012048192771084338,0.03614457831325301,0.2289156626506024,0.21428571428571427,1.0,True,True,False,0,0,0.0,8,0.5882352941176471,H1,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
Where can I get more information? Visit www.cdc.gov/yrbss or call 800­CDC­INFO (800­232­4636).,1,"(109.80000305175781, 688.2030029296875, 505.6809997558594, 700.208984375)",8.99129581451416,TT26Et00,4,792.0,612.0,16,17,0.9411764705882353,-0.694613510367519,0.11764705882352941,False,False,0.9590997695922852,True,True,0.8689431855172822,0.959050178527832,83,0,0.0,0,0,-0.3814964532183205,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,395.88099670410156,12.0059814453125,32.9736472197086,2,6.0,12,6.916666666666667,1.0,94,0.6276595744680851,0.13829787234042554,0.0425531914893617,0.11702127659574468,0.3125,1.0,False,True,False,2,0,0.0,17,0.058823529411764705,H3,Paragraph,KHFVIIN7BUD6WPBAO3FNRJXTCS5FVIOK.pdf
