text,label,page,line_count,avg_font_size,max_font_size,has_bold,has_italic,block_index,relative_position,prev_font_size,prev_text_length,next_font_size,next_text_length,word_count,char_count,avg_word_length,y_position,x_position,width,height,is_top_quarter,is_left_aligned,font_size_ratio,is_large_font,font_emphasis_score,all_caps_ratio,digit_ratio,punct_ratio,has_colon,starts_with_number,title_pattern_score,heading_pattern_score,is_first_block,is_early_block,font_larger_than_prev,font_larger_than_next,content_word_ratio,semantic_density,position_font_interaction,pattern_position_interaction
"HIV, Other STD, and Teen Pregnancy Prevention and",Title,0.0,1.0,17.982891082763672,17.982891082763672,0,0,0.0,0.0,12.0,0.0,17.982891082763672,23.0,8.0,49.0,5.25,24.726299285888672,157.4398956298828,422.30406188964844,24.01199722290039,1,0,1.5095466491442828,1,2.0,0.20408163265306123,0.0,0.04081632653061224,0,0,0.0,1.0,1,1,1,0,0.625,1.0,0.0,1.0
North Carolina Students,Paragraph,0.0,1.0,17.982891082763672,17.982891082763672,0,0,1.0,0.05263157894736842,17.982891082763672,49.0,17.982891082763672,20.0,3.0,23.0,7.0,63.60630416870117,391.31866455078125,201.14495849609375,24.01199722290039,1,0,1.5095466491442828,1,2.0,0.13043478260869565,0.0,0.0,0,0,2.0,1.0,0,1,0,0,1.0,1.0,0.07944982363917277,2.8421052631578947
What is the problem?,H1,0.0,1.0,17.982891082763672,17.982891082763672,0,0,2.0,0.10526315789473684,17.982891082763672,23.0,9.950395584106445,93.0,4.0,20.0,4.25,106.92631530761719,221.63165283203125,173.19857788085938,24.017974853515625,1,0,1.5095466491442828,1,2.0,0.05,0.0,0.05,0,0,0.0,1.0,0,1,0,1,0.25,1.0,0.15889964727834555,0.8947368421052632
The 2011 North Carolina Youth Risk Behavior Survey indicates that among high school students:,Paragraph,0.0,1.0,9.950395584106445,9.950395584106445,0,0,3.0,0.15789473684210525,17.982891082763672,20.0,9.950395584106445,21.0,14.0,93.0,5.714285714285714,132.43240356445312,29.999500274658203,410.16730880737305,13.286651611328125,1,1,0.8352709385002591,0,0.0,0.07526881720430108,0.043010752688172046,0.010752688172043012,1,0,0.0,1.0,0,1,0,0,0.8571428571428571,1.0,0.1318848850263567,0.8421052631578947
Sexual Risk Behaviors,H2,0.0,1.0,9.950395584106445,9.950395584106445,0,0,4.0,0.21052631578947367,9.950395584106445,93.0,9.950395584106445,458.0,3.0,21.0,6.333333333333333,149.11538696289062,30.009368896484375,96.08776092529297,13.286651611328125,1,1,0.8352709385002591,0,0.0,0.14285714285714285,0.0,0.0,0,0,2.0,0.0,0,1,0,0,1.0,1.0,0.1758465133684756,1.5789473684210527
"• 49% ever had sexual intercourse. • 9% had sexual intercourse for the first time before age 13 years. • 17% had sexual intercourse with four or more persons during their life. • 35% had sexual intercourse with at least one person during the 3 months before the survey. • 46% did not use a condom during last sexual intercourse. (1) • — did not use birth control pills or Depo­Provera (or any injectable birth control), Nuva Ring (or any birth control ring),",Paragraph,0.0,6.0,9.950395584106445,9.950395584106445,0,0,5.0,0.2631578947368421,9.950395584106445,21.0,9.950395584106445,161.0,83.0,458.0,4.530120481927711,160.75863647460938,39.84081268310547,511.92139434814453,71.50289916992188,1,1,0.8352709385002591,0,0.0,0.008733624454148471,0.028384279475982533,0.056768558951965066,0,0,0.0,0.0,0,0,0,0,0.5542168674698795,0.7391304347826086,0.21980814171059448,0.0
"implanon (or any implant), or any IUD before last sexual intercourse. (1) • — were never taught in school about AIDS or HIV infection. Alcohol and Other Drug Use",Paragraph,0.0,3.0,9.950395584106445,9.950395584106445,0,0,6.0,0.3157894736842105,9.950395584106445,458.0,9.950395584106445,167.0,29.0,161.0,4.586206896551724,230.61807250976562,30.069061279296875,330.1538391113281,36.214569091796875,0,1,0.8352709385002591,0,0.0,0.08695652173913043,0.006211180124223602,0.055900621118012424,0,0,0.0,0.0,0,0,0,0,0.5862068965517241,1.0,0.2637697700527134,0.0
• 25% drank alcohol or used drugs before last sexual intercourse. (1) • — used a needle to inject any illegal drug into their body one or more times during their life.,Paragraph,0.0,2.0,9.950395584106445,9.950395584106445,0,0,7.0,0.3684210526315789,9.950395584106445,161.0,17.982891082763672,23.0,32.0,167.0,4.25,269.6214294433594,39.671875,404.24261474609375,24.929901123046875,0,1,0.8352709385002591,0,0.0,0.0,0.017964071856287425,0.04790419161676647,0,0,0.0,0.0,0,0,0,0,0.5625,0.9444444444444444,0.30773139839483227,0.0
What are the solutions?,H1,0.0,1.0,17.982891082763672,17.982891082763672,0,0,8.0,0.42105263157894735,9.950395584106445,167.0,9.950395584106445,113.0,4.0,23.0,5.0,300.9661865234375,56.39950180053711,501.75192642211914,34.7127685546875,0,1,1.5095466491442828,1,2.0,0.043478260869565216,0.0,0.043478260869565216,0,0,0.0,1.0,0,0,1,1,0.25,1.0,0.6355985891133822,0.5789473684210527
Better health education • More comprehensive health services • More supportive policies • More family involvement,H2,0.0,1.0,9.950395584106445,9.950395584106445,0,0,9.0,0.47368421052631576,17.982891082763672,23.0,17.982891082763672,19.0,16.0,113.0,6.125,300.9661865234375,56.39950180053711,501.75192642211914,34.7127685546875,0,1,0.8352709385002591,0,0.0,0.035398230088495575,0.0,0.02654867256637168,0,0,2.0,0.0,0,0,0,0,0.625,0.9,0.3956546550790701,1.0526315789473686
